timestamp,src_ip,method,uri,status,bytes,user_agent,event_type,country,asn
2026-02-13 00:00:01,185.220.101.1,GET,/wp-login.php,404,512,"Mozilla/5.0 (compatible; CensysInspect/1.0)",scan_wp,US,39836
2026-02-13 00:00:02,185.220.101.1,GET,/administrator,403,489,"Mozilla/5.0 (compatible; CensysInspect/1.0)",scan_joomla,US,39836
2026-02-13 00:00:03,185.220.101.1,GET,/phpMyAdmin,404,502,"Mozilla/5.0 (compatible; CensysInspect/1.0)",scan_phpmyadmin,US,39836
2026-02-13 00:00:04,89.123.45.67,REGISTER,sip:pbx.company.com,401,412,"-",voip_flood,RO,8708
2026-02-13 00:00:05,89.123.45.67,REGISTER,sip:pbx.company.com,401,411,"-",voip_flood,RO,8708
2026-02-13 00:00:06,89.123.45.67,REGISTER,sip:pbx.company.com,401,410,"-",voip_flood,RO,8708
2026-02-13 00:00:07,45.227.252.230,POST,/xmlrpc.php,200,1892,"WordPress/4.9.8",xmlrpc_attack,SC,268581
2026-02-13 00:00:08,45.227.252.230,POST,/xmlrpc.php,200,1876,"WordPress/4.9.8",xmlrpc_attack,SC,268581
2026-02-13 00:00:09,45.227.252.230,POST,/xmlrpc.php,200,1884,"WordPress/4.9.8",xmlrpc_attack,SC,268581
2026-02-13 00:00:10,192.168.1.100,SSH,invalid_user_admin,55432,0,"-",ssh_bruteforce,PRIVATE,-
2026-02-13 00:00:11,192.168.1.100,SSH,invalid_user_postgres,55433,0,"-",ssh_bruteforce,PRIVATE,-
2026-02-13 00:00:12,192.168.1.100,SSH,invalid_user_oracle,55434,0,"-",ssh_bruteforce,PRIVATE,-
2026-02-13 00:00:13,103.86.51.11,GET,/index.php?option=com_users&view=registration,200,8432,"Mozilla/4.0 (compatible; MSIE 6.0)",joomla_exploit,CN,137443
2026-02-13 00:00:14,103.86.51.11,POST,/index.php?option=com_users&task=registration.register,302,215,"Mozilla/4.0 (compatible; MSIE 6.0)",joomla_exploit,CN,137443
2026-02-13 00:00:15,103.86.51.11,GET,/administrator/index.php,403,634,"Mozilla/4.0 (compatible; MSIE 6.0)",joomla_admin_scan,CN,137443
2026-02-13 00:00:16,5.188.206.200,GET,/.env,404,289,"curl/7.68.0",env_leak,FR,202448
2026-02-13 00:00:17,5.188.206.200,GET,/.git/config,404,291,"curl/7.68.0",git_leak,FR,202448
2026-02-13 00:00:18,5.188.206.200,GET,/.aws/credentials,404,295,"curl/7.68.0",aws_leak,FR,202448
2026-02-13 00:00:19,172.16.0.10,SYSTEM,nwui_servername,critical,0,"Failed to start all daemons",service_crash,PRIVATE,-
2026-02-13 00:00:20,172.16.0.10,SYSTEM,nwuidb,exit1,0,"Process exited in <10 sec",db_failure,PRIVATE,-
2026-02-13 00:00:21,2.56.59.144,GET,/cgi-bin/luci,200,12543,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36",router_scan,RU,208628
2026-02-13 00:00:22,2.56.59.144,POST,/cgi-bin/luci/;stok=/locale,302,189,"Mozilla/5.0",cve_2023_28710,RU,208628
2026-02-13 00:00:23,2.56.59.144,GET,/cgi-bin/luci/;stok=/admin/status,200,23412,"Mozilla/5.0",post_exploit,RU,208628
2026-02-13 00:00:24,192.168.1.21,GET,/subscribe?host_int=77199635,401,0,"-",proxy_anon_auth,PRIVATE,-
2026-02-13 00:00:25,192.168.1.21,GET,/hosts,401,0,"-",proxy_anon_auth,PRIVATE,-
2026-02-13 00:00:26,192.168.1.21,GET,/config,401,0,"-",proxy_anon_auth,PRIVATE,-
2026-02-13 00:00:27,185.176.222.1,GET,/solr/admin/cores,200,7892,"Apache-HttpClient/4.5.13",solr_rce,NL,207812
2026-02-13 00:00:28,185.176.222.1,POST,/solr/select?q=1%3D1,200,12452,"Apache-HttpClient/4.5.13",solr_injection,NL,207812
2026-02-13 00:00:29,185.176.222.1,GET,/solr/admin/info/properties,200,34521,"Apache-HttpClient/4.5.13",solr_config_leak,NL,207812
2026-02-13 00:00:30,94.102.61.45,GET,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,404,312,"python-requests/2.28.1",phpunit_rce,NL,201593
